Campeones,Puntos
aatrox,4924
ahri,7995
akali,6180
akshan,189
alistar,16954
amumu,6816
anivia,224
annie,3858
aphelios,36106
ashe,2632
aurelion sol,7121
azir,9745
bardo,44927
blitzcrank,15545
brand,15033
braum,12913
caitlyn,1756
camille,4620
cassiopeia,171
cho'gath,6453
corki,229
darius,246
diana,1530
dr.mundo,11430
draven ,14200
ekko,719
elise,1856
evelynn,1586
ezreal,23438
fiddlesticks,2104
fiora,4659
fizz,935
galio,15131
gankplank,123
garen,5095
gnar,223
gragas,134
graves,12922
gwen,163
hecarim,15771
heimendinger,1807
illaoi,127
irelia,13295
ivern,62457
janna,3428
jarvan,1005
jax,2099
jayce,1989
jhin,2590
jinx,4558
kai'sa,255
kalista,551
karma,354
karthus,10138
kassadin,6229
katarina,3651
kayle,501
kayn,7285
kennen,118
kha'zix,51227
kindred,2079
kled,5357
kog'maw,3775
leblanc,1176
lee sin,4475
leona,15016
lillia,6073
lissandra,1176
lucian,5437
lulu,11495
lux,27471
maestro yi,7498
malphite,3592
malzahar,388
maokai,2473
miss fortune,2723
mordekaiser,4178
morgana,5865
nami,1006
nasus,4540
nautilus,62938
neeko,3334
nidalee,6237
nocturne,1481
nunu y willump,8589
olaf,4470
orianna,9482
ornn,333
pantheon,477
poppy,3390
pyke,8398
quinn,1283
qiyana,1341
rakan,923
rammus,92583
rek'sai,166
rell,149
renekton,16711
rengar,116
riven,28287
rumble,213
ryze,32822
samira,12426
sejuani,4661
senna,1494
seraphine,1098
sett,6218
shaco,4402
shen,42051
shyvana,1176
singed,11053
sion,128
sivir,1992
skarner,3524
sona,2876
soraka,2928
swain,142385
sylas,152
syndra,2490
tahm kench,15090
taliyah,3302
talon,6409
taric,2581
teemo,3836
thresh,22496
tristana,921
trundle,2979
tryndamer,1778
twisted fate,61969
twitch,2211
udyr,15341
urgot,502
varus,3327
vayne,121
veigar,2437
vel'koz,1828
vex,233
vi,3232
viego,2407
viktor,4188
vladimir,3890
volibear,125
warwick,7306
wukong,35800
xayah,9500
xerath,3507
xin zhao,9425
yasuo,6019
yone,6032
yorick,38484
yuumi,5858
zac,2086
zed,1474
ziggs,1326
zilean,2613
zoe,176
zyra,1136
belveth,0
renata,3844
zeri,1025
